gene_symbol,uniprot,source_category,morphology,anisotropy_index,radius_of_gyration,plddt_mean,n_residues,dise_score,plddt_median,plddt_fraction_high,plddt_fraction_ok,plddt_fraction_low,disorder_fraction_proxy,backbone_principal_axis,curvature_summary,torsion_summary,end_to_end_distance,bending_hotspots,hinge_candidates,exposed_surface_proxy,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_IDR_heavy,predicted_domain_segments,PAE_mean,PAE_domain_blockiness_score
PIEZO2,Q9H5I5,Full_Cycle_Run,Fibrous/Extended,4.441176983762356,43.40791862714556,79.4436389280677,709,95,88.38,0.4174894217207334,0.3681241184767277,0.2143864598025388,0.1368124118476728,"[-0.687, -0.068, 0.724]",0.3293254003639894,1.4284592527058404,28.406129021744583,460:0.38; 239:0.38; 138:0.38,0,0.5627644569816643,0.2452107279693486,False,True,False,7,16.987465211535746,2.799985883630068
RUNX3,Q13761,Full_Cycle_Run,Intermediate,2.0611670656856456,15.814810367547928,60.564096385542165,415,95,46.34,0.2819277108433735,0.0385542168674698,0.6795180722891566,0.5614457831325301,"[-0.510, 0.008, 0.860]",0.2843747847575885,1.964747553996119,52.973654367053065,159:0.39; 69:0.38; 54:0.38,12,0.7831325301204819,0.3720930232558139,True,False,True,1,25.59002467702134,0.0
NTRK3,Q16288,Full_Cycle_Run,Intermediate,1.936111715585754,32.4510204214344,76.81557806912993,839,95,88.81,0.466030989272944,0.2514898688915375,0.2824791418355185,0.2026221692491061,"[-0.157, -0.071, 0.985]",0.3027493283146977,1.828904749539912,42.45300819729975,328:0.42; 236:0.40; 592:0.39,9,0.4135876042908224,0.3221476510067114,False,True,False,10,22.156000460278925,6.340271081528403
LBX1,P52954,Full_Cycle_Run,Intermediate,2.266410666464284,22.694646921843983,66.86779359430605,281,95,60.25,0.2313167259786477,0.1565836298932384,0.6120996441281139,0.2633451957295373,"[-0.222, -0.149, 0.964]",0.3434979169995809,1.1726210428916588,51.85587921345082,83:0.39; 37:0.39; 34:0.38,0,0.9323843416370108,0.3555555555555555,True,True,False,3,25.08210382340649,7.354659843586591
PIEZO1,Q92508,Full_Cycle_Run,Fibrous/Extended,3.896259474160542,58.85421625457664,72.0459182863943,2521,92,79.19,0.1193970646568821,0.5537485124950416,0.3268544228480761,0.1701705672352241,"[-0.270, -0.320, 0.908]",0.3413845615077925,1.181661841789843,29.95223071826204,458:0.44; 625:0.42; 513:0.41,3,0.4573581911939706,0.2696390658174097,False,True,False,35,22.743295862553047,5.738877788747343
OTOP1,Q7RTM1,Full_Cycle_Run,Intermediate,1.7507094616744632,22.56431414728709,75.68916666666668,612,92,86.94,0.3986928104575163,0.2826797385620915,0.3186274509803921,0.230392156862745,"[0.840, 0.540, 0.055]",0.3564614376969311,0.966681319953063,10.279577325940984,255:0.39; 88:0.38; 554:0.38,0,0.4591503267973856,0.1875,False,True,False,7,16.158475372719895,1.8282394376145
PLOD1,Q02809,Full_Cycle_Run,Fibrous/Extended,3.3950779336885484,34.74005439030851,92.72865199449797,727,92,96.12,0.8762035763411279,0.0784044016506189,0.0453920220082531,0.030261348005502,"[-0.617, -0.153, 0.772]",0.3091533847663911,1.68336227284043,80.99996461110338,685:0.39; 660:0.39; 458:0.38,1,0.3012379642365887,0.425531914893617,False,False,False,3,7.744617608494519,2.311504031293698
NF1,P21359,Full_Cycle_Run,Intermediate,1.9279279346731688,26.102187972317576,87.17264755480608,593,92,93.19,0.6762225969645869,0.209106239460371,0.1146711635750421,0.0691399662731871,"[-0.387, -0.133, 0.912]",0.3503767089454377,1.1157490878539844,40.685459036368265,221:0.38; 178:0.38; 274:0.38,1,0.3389544688026981,0.3669064748201439,False,False,False,6,9.487051008249704,2.4242661906749245
IFT88,Q13099,Full_Cycle_Run,Intermediate,2.8032400603850034,38.287627926060686,76.34603155339805,824,92,89.28,0.4660194174757281,0.2487864077669903,0.2851941747572815,0.2293689320388349,"[-0.626, -0.157, 0.764]",0.3577318538745986,1.1213538792955453,92.38505344480784,315:0.38; 643:0.38; 426:0.38,1,0.5109223300970874,0.4391534391534391,False,True,False,3,19.419907331039685,2.428935662597941
EGR3,Q06889,Full_Cycle_Run,Fibrous/Extended,3.762072398804325,18.50767129123126,49.96868217054263,387,92,37.94,0.1317829457364341,0.1136950904392764,0.7545219638242894,0.6434108527131783,"[-0.453, -0.341, 0.824]",0.3306520427859245,1.631427031477643,42.87444059110276,226:0.38; 300:0.38; 323:0.38,2,0.8682170542635659,0.5434782608695652,True,False,True,1,25.877811830218537,0.0
