gene_symbol,uniprot_id,species,length,pLDDT_mean,PAE_mean,morphology,radius_of_gyration,anisotropy_index,pLDDT_fraction_high,pLDDT_fraction_low,PAE_domain_blockiness_score,predicted_domain_segments,disorder_fraction_proxy,hinge_candidates,backbone_principal_axis,end_to_end_distance,curvature_summary,torsion_summary,bending_hotspots,exposed_surface_proxy,charged_patch_score,low_confidence_warning,multi_domain_uncertain,likely_IDR_heavy
MYLK,Q15746,Homo sapiens,1914,65.85,26.60,Globular,41.50,1.46,0.18,0.39,8.29,28,0.35,31,"[-0.262, -0.391, 0.882]",56.78,0.2766,2.0756,1835:0.42; 59:0.41; 649:0.41,0.53,0.40,True,True,True
DMD,P11532,Homo sapiens,525,76.35,19.01,Globular,22.82,1.32,0.46,0.36,6.91,2,0.18,1,"[-0.696, -0.170, 0.698]",48.85,0.3397,1.3283,251:0.39; 14:0.39; 53:0.38,0.55,0.37,False,True,False
DAG1,Q14118,Homo sapiens,895,68.17,25.46,Intermediate,31.58,2.39,0.32,0.48,5.63,7,0.38,14,"[-0.544, -0.745, -0.387]",12.97,0.2966,1.8359,697:0.41; 667:0.38; 550:0.38,0.64,0.31,True,True,True
PPARGC1A,Q9UBK2,Homo sapiens,798,52.74,28.09,Intermediate,31.25,2.19,0.08,0.79,6.56,4,0.62,0,"[-0.885, 0.223, 0.409]",68.17,0.3342,1.3147,689:0.38; 697:0.38; 795:0.38,0.93,0.51,True,True,True
IGF1R,P08069,Homo sapiens,1367,78.02,23.59,Globular,43.20,1.43,0.44,0.25,5.85,16,0.16,35,"[-0.397, 0.016, 0.918]",53.58,0.2975,1.7991,34:0.41; 1073:0.40; 44:0.38,0.42,0.35,False,True,False
GHR,P10912,Homo sapiens,638,58.70,25.83,Fibrous/Extended,31.36,5.13,0.26,0.67,5.31,3,0.50,54,"[-0.761, 0.080, 0.644]",63.25,0.2819,1.9819,266:0.38; 131:0.38; 163:0.38,0.80,0.20,True,True,True
ARNTL,O00327,Homo sapiens,626,65.53,22.82,Fibrous/Extended,32.07,3.32,0.34,0.53,3.59,7,0.40,6,"[-0.577, 0.255, 0.776]",14.26,0.3149,1.6186,143:0.38; 191:0.38; 428:0.38,0.69,0.47,True,True,True
PIEZO2,Q9H5I5,Homo sapiens,709,79.44,16.99,Fibrous/Extended,43.41,4.44,0.42,0.21,2.80,7,0.14,0,"[-0.687, -0.068, 0.724]",28.41,0.3293,1.4285,460:0.38; 239:0.38; 138:0.38,0.56,0.25,False,True,False
LBX1,P52954,Homo sapiens,281,66.87,25.08,Intermediate,22.69,2.27,0.23,0.61,7.35,3,0.26,0,"[-0.222, -0.149, 0.964]",51.86,0.3435,1.1726,83:0.39; 37:0.39; 34:0.38,0.93,0.36,True,True,False
NTRK3,Q16288,Homo sapiens,839,76.82,22.16,Intermediate,32.45,1.94,0.47,0.28,6.34,10,0.20,9,"[-0.157, -0.071, 0.985]",42.45,0.3027,1.8289,328:0.42; 236:0.40; 592:0.39,0.41,0.32,False,True,False
